Year,State,District ID,District Name,Grade range of responsibility,Total Population,Relevant Ages 5 to 17 Population,Relevant Ages 5 to 17 in Families in Poverty,Relevant age 5 to 17 Ratio,Relevant Ages 5 to 17 Ratio LB 90%,Relevant Ages 5 to 17 Ratio UB 90%,Map
2019,1,101140,DeKalb County School District (AL),KG-12,"57,367","10,346","3,030",29.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101140&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101170,Decatur City School District (AL),PK-12,"55,869","9,221","1,847",20,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101170&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101200,Demopolis City School District (AL),PK-12,"6,704","1,129",399,35.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101200&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101230,Dothan City School District (AL),PK-12,"68,731","11,226","2,979",26.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101230&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101260,Elba City School District (AL),KG-12,"5,424",862,230,26.7,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101260&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101290,Elmore County School District (AL),PK-12,"73,914","12,167","2,114",17.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101290&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101320,Enterprise City School District (AL),PK-12,"27,756","4,969",976,19.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101320&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101350,Escambia County School District (AL),PK-12,"31,477","5,153","1,213",23.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101350&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101380,Etowah County School District (AL),PK-12,"59,013","9,442","1,732",18.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101380&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101410,Eufaula City School District (AL),PK-12,"11,777","2,151",797,37.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101410&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101440,Fairfield City School District (AL),KG-12,"11,098","1,859",530,28.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101440&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101470,Fayette County School District (AL),KG-12,"15,069","2,328",490,21,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101470&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
